income,spending,age,education,recency,complain,wines,fruits,meat,sweets,gold,fish,deals,web_p,catalog_p,store_p,web_visit,marital_Alone,education_2n Cycle,education_Graduation,education_Master,education_PhD,child_Yes
82582.0,1617,43,Graduation,54,0,510,120,550,40,241,156,1,4,9,7,1,1,0,1,0,0,0
66373.0,606,42,Graduation,57,0,328,9,124,24,109,12,7,4,2,10,3,0,0,1,0,0,1
82384.0,1957,65,Master,55,0,984,51,432,120,190,180,1,3,10,13,1,0,0,0,1,0,0
70287.0,1093,54,Graduation,30,0,295,35,482,120,40,121,1,5,5,10,3,1,0,1,0,0,0
27938.0,29,32,Graduation,31,0,13,0,8,1,5,2,1,1,0,4,3,1,0,1,0,0,1
28780.8,46,38,Graduation,57,0,11,3,22,2,6,2,2,2,0,3,6,1,0,1,0,0,1
55954.0,518,52,PhD,63,0,447,0,28,0,43,0,3,8,2,6,7,0,0,0,0,1,1
75777.0,1438,38,Master,12,0,712,26,538,13,80,69,1,3,6,11,1,1,0,0,1,0,0
66653.0,612,45,Graduation,18,0,452,18,102,18,6,16,4,4,2,12,3,0,0,1,0,0,1
61823.0,884,68,Graduation,26,0,523,7,134,14,169,37,4,8,2,10,7,1,0,1,0,0,1
67680.0,606,69,PhD,8,0,546,0,48,6,6,0,1,7,3,8,5,1,0,0,0,1,1
70666.0,1076,72,Graduation,29,0,398,40,367,122,30,119,1,7,4,4,4,0,0,1,0,0,0
25721.0,34,49,Graduation,75,0,1,3,6,6,15,3,1,1,1,2,7,0,0,1,0,0,1
32474.0,11,53,Graduation,0,0,10,0,1,0,0,0,1,1,0,2,7,0,0,1,0,0,1
69096.0,653,62,Graduation,4,0,247,49,159,82,109,7,1,5,2,10,4,0,0,1,0,0,1
74854.0,1562,50,Graduation,90,0,856,59,487,29,73,58,7,2,5,5,5,0,0,1,0,0,1
66991.0,1253,66,Master,1,0,496,36,460,60,12,189,3,4,8,6,3,0,0,0,1,0,0
58784.8,109,47,2n Cycle,25,0,25,3,43,4,17,17,3,3,0,3,8,0,1,0,0,0,1
65031.0,863,61,Graduation,29,0,258,107,291,37,86,84,4,10,3,13,7,0,0,1,0,0,1
60631.0,661,45,PhD,88,0,565,6,65,6,19,0,5,9,2,8,7,0,0,0,0,1,1
28332.0,65,68,Graduation,58,0,14,10,13,15,9,4,1,2,1,4,2,0,0,1,0,0,0
40246.0,13,43,Graduation,68,0,2,1,6,1,1,2,1,1,0,2,6,1,0,1,0,0,1
75251.0,1890,48,Master,34,0,721,111,925,18,18,97,1,7,6,5,5,0,0,0,1,0,0
75825.0,2209,44,Graduation,40,0,1032,105,779,105,51,137,0,5,8,9,4,1,0,1,0,0,0
26326.0,18,44,2n Cycle,12,1,1,0,5,3,9,0,1,0,0,3,3,0,1,0,0,0,0
56046.0,692,55,Graduation,9,0,577,0,64,0,51,0,2,10,1,8,8,0,0,1,0,0,0
29760.0,165,35,Graduation,87,0,64,4,68,5,17,7,4,3,1,4,8,1,0,1,0,0,1
26304.0,16,51,Graduation,5,0,4,1,5,0,4,2,1,1,0,2,7,0,0,1,0,0,1
23559.0,79,47,2n Cycle,87,0,25,5,19,0,23,7,3,3,0,3,7,0,1,0,0,0,1
38620.0,318,57,Master,56,0,112,17,44,22,89,34,1,2,5,3,3,0,0,0,1,0,0
81361.0,778,33,Graduation,18,0,163,23,424,65,76,27,1,3,10,13,1,1,0,1,0,0,0
29440.0,56,60,Graduation,95,0,17,8,14,4,3,10,2,1,0,4,7,0,0,1,0,0,1
36138.0,151,50,Master,48,0,130,0,16,0,5,0,5,3,1,4,7,0,0,0,1,0,1
50388.0,372,63,Graduation,3,0,292,6,37,3,34,0,4,6,1,6,7,1,0,1,0,0,1
79593.0,1366,47,Graduation,70,0,350,60,568,133,145,110,1,5,6,7,2,0,0,1,0,0,0
54178.0,194,53,Graduation,79,0,135,9,39,0,7,4,1,2,2,5,2,0,0,1,0,0,1
60649.2,603,63,PhD,4,0,230,42,192,37,53,49,12,7,2,8,9,0,0,0,0,1,1
27345.6,18,63,Graduation,45,0,7,0,8,0,1,2,1,1,0,2,7,1,0,1,0,0,1
67236.8,985,47,Master,87,0,445,37,359,28,18,98,1,2,4,8,1,0,0,0,1,0,0
42394.0,32,48,Master,69,0,15,2,10,1,4,0,1,1,0,3,7,1,0,0,1,0,1
23626.0,43,50,PhD,84,0,27,2,14,0,0,0,3,3,1,3,5,0,0,0,0,1,1
30096.0,45,37,Graduation,30,0,5,3,11,5,9,12,1,2,0,3,6,0,0,1,0,0,1
47916.0,606,60,Graduation,72,0,505,0,26,0,75,0,5,7,4,6,6,1,0,1,0,0,1
51813.0,63,48,Graduation,37,0,51,2,7,1,2,0,2,2,0,3,7,1,0,1,0,0,1
78497.0,978,69,2n Cycle,44,0,207,26,447,0,223,75,1,5,7,12,2,0,1,0,0,0,0
50150.0,410,37,PhD,32,0,135,46,92,61,11,65,2,5,2,7,5,0,0,0,0,1,0
47823.0,72,60,2n Cycle,0,0,53,1,5,1,10,2,2,2,0,3,8,1,1,0,0,0,1
34554.0,55,61,PhD,43,0,41,1,6,0,5,2,2,2,0,3,6,1,0,0,0,1,1
65846.0,1120,75,PhD,68,0,562,81,276,40,81,80,1,6,3,6,4,0,0,0,0,1,0
24594.0,29,41,Basic,94,0,1,3,6,0,9,10,1,1,0,3,5,0,0,0,0,0,1
49096.0,187,56,Graduation,15,0,144,1,32,1,7,2,4,4,1,4,7,0,0,1,0,0,1
52413.0,910,51,Graduation,56,0,295,106,271,98,65,75,4,6,4,12,6,0,0,1,0,0,1
38557.0,145,42,Graduation,17,0,76,3,31,4,27,4,2,3,1,3,7,1,0,1,0,0,1
77298.0,969,41,Graduation,46,0,425,115,292,35,79,23,1,6,6,11,3,0,0,1,0,0,1
68126.0,1820,29,PhD,40,0,1332,17,311,51,86,23,1,7,4,5,9,1,0,0,0,1,0
57288.0,608,57,Master,27,0,527,0,21,0,60,0,3,8,1,8,6,0,0,0,1,0,1
43974.0,551,40,PhD,19,0,378,0,101,0,72,0,5,6,4,6,7,0,0,0,0,1,1
50785.0,114,58,Graduation,27,0,64,1,21,1,27,0,2,2,1,3,6,1,0,1,0,0,1
36550.0,577,42,2n Cycle,74,0,47,90,94,103,120,123,5,9,1,5,9,0,1,0,0,0,1
30753.0,81,53,2n Cycle,85,0,12,5,25,9,30,0,2,1,1,3,5,0,1,0,0,0,1
21918.0,33,51,Graduation,37,0,1,6,7,5,3,11,2,2,0,3,6,0,0,1,0,0,1
56129.0,660,67,Master,65,0,320,48,133,72,48,39,4,6,2,10,4,0,0,0,1,0,1
32557.0,80,53,Master,13,0,34,3,29,4,10,0,3,2,1,3,5,1,0,0,1,0,1
19510.0,30,35,Master,63,0,9,0,7,4,7,3,2,1,0,3,7,0,0,0,1,0,1
30992.0,43,44,Graduation,83,0,17,0,14,3,2,7,1,1,0,3,7,1,0,1,0,0,1
71488.0,559,55,2n Cycle,87,0,162,33,124,28,172,40,2,3,4,7,1,0,1,0,0,0,0
79607.0,1923,36,Graduation,37,0,450,133,951,0,216,173,1,3,6,6,1,1,0,1,0,0,0
54348.0,90,67,Master,51,0,70,0,16,0,4,0,2,2,0,4,6,0,0,0,1,0,1
52506.2,404,59,PhD,23,0,352,0,27,0,15,10,3,6,1,7,6,0,0,0,0,1,1
77376.0,661,64,PhD,72,0,492,19,110,12,12,16,4,6,3,10,4,0,0,0,0,1,1
62998.0,463,68,Graduation,10,0,120,58,73,89,58,65,5,5,4,5,5,0,0,1,0,0,1
61331.0,632,62,Master,42,0,534,5,47,5,41,0,5,11,1,6,8,1,0,0,1,0,1
73448.0,725,51,Graduation,10,0,236,106,189,41,130,23,1,7,2,9,4,0,0,1,0,0,0
65507.0,725,57,Graduation,96,0,231,65,196,71,124,38,1,6,5,7,4,0,0,1,0,0,1
41551.0,279,56,PhD,51,0,220,0,33,0,23,3,5,5,1,5,8,0,0,0,0,1,1
62981.0,1482,53,PhD,21,0,796,14,590,44,0,38,1,4,5,13,3,0,0,0,0,1,0
33762.0,106,61,PhD,61,0,53,1,34,0,16,2,3,2,2,2,8,0,0,0,0,1,1
35860.0,49,47,PhD,37,0,15,0,8,2,20,4,2,1,1,2,5,1,0,0,0,1,1
36921.0,38,55,PhD,74,0,17,1,12,1,4,3,2,2,0,3,7,1,0,0,0,1,1
65104.0,1053,44,Master,4,0,738,0,232,20,50,13,2,3,5,7,7,0,0,0,1,0,1
68352.0,871,46,PhD,47,0,614,16,132,33,33,43,3,8,5,9,6,1,0,0,0,1,1
41883.0,312,32,Graduation,13,0,32,34,41,16,116,73,3,4,2,3,7,0,0,1,0,0,1
59809.0,877,44,Graduation,36,0,598,16,141,41,49,32,3,3,3,6,8,0,0,1,0,0,1
23957.0,68,45,Graduation,47,0,2,1,18,11,16,20,1,2,0,3,6,0,0,1,0,0,1
38547.0,22,39,Graduation,49,1,6,1,10,1,4,0,1,1,0,2,8,0,0,1,0,0,1
35688.0,211,47,2n Cycle,94,0,73,3,90,1,32,12,7,4,1,4,8,0,1,0,0,0,1
49605.0,127,54,Master,65,0,42,16,29,20,8,12,1,2,1,4,3,0,0,0,1,0,0
59354.0,459,67,Master,59,0,295,21,78,13,13,39,1,4,4,7,3,0,0,0,1,0,1
65747.0,460,51,Graduation,96,0,346,17,48,13,13,23,4,8,1,6,6,0,0,1,0,0,1
46344.0,429,48,2n Cycle,28,0,233,20,57,20,91,8,4,7,1,5,7,0,1,0,0,0,1
34176.0,89,32,Graduation,12,0,5,7,24,14,20,19,4,3,0,4,6,1,0,1,0,0,1
61010.0,1021,68,PhD,57,0,888,0,57,0,76,0,2,8,5,11,5,0,0,0,0,1,1
69372.0,1381,71,Graduation,10,0,997,26,269,13,42,34,1,10,4,6,4,0,0,1,0,0,0
49967.0,306,62,Graduation,4,0,212,6,69,12,3,4,3,6,1,5,7,1,0,1,0,0,1
60199.0,18,42,Graduation,49,0,8,1,7,0,0,2,1,0,0,3,4,1,0,1,0,0,1
55375.0,162,43,Graduation,3,0,42,11,57,28,14,10,1,1,1,6,2,0,0,1,0,0,1
80317.0,1231,65,Graduation,64,0,536,11,387,91,57,149,1,3,4,10,1,1,0,1,0,0,0
30523.0,13,62,Master,0,0,5,0,3,0,5,0,1,1,0,2,7,1,0,0,1,0,1
70356.0,1706,75,PhD,20,0,1349,16,249,16,33,43,2,10,6,9,6,0,0,0,0,1,0
23228.0,121,36,Graduation,91,0,53,3,49,4,5,7,4,3,0,4,8,0,0,1,0,0,1
74165.0,1293,45,PhD,9,0,1001,12,240,12,12,16,1,5,4,10,2,1,0,0,0,1,0
43482.0,88,54,Graduation,83,0,18,1,32,3,28,6,3,2,0,4,6,0,0,1,0,0,1
62551.0,421,67,Graduation,27,0,125,16,98,21,27,134,1,6,7,4,3,1,0,1,0,0,0
52332.0,259,61,Graduation,63,0,212,5,33,0,2,7,1,3,2,6,4,1,0,1,0,0,0
66951.0,1117,32,Graduation,46,0,277,162,305,76,124,173,1,3,4,7,1,1,0,1,0,0,0
26091.0,89,63,Graduation,84,0,15,10,19,17,20,8,3,2,1,3,5,0,0,1,0,0,1
33456.0,36,55,Graduation,58,0,7,3,10,1,7,8,2,1,0,3,7,0,0,1,0,0,1
28718.0,57,38,Graduation,78,0,12,4,6,8,16,11,2,2,0,3,8,0,0,1,0,0,1
50447.0,148,50,Graduation,4,0,85,7,24,3,27,2,1,3,1,3,6,0,0,1,0,0,1
53537.0,93,61,PhD,17,0,81,0,6,0,6,0,2,2,1,3,5,0,0,0,0,1,1
52074.0,119,53,Graduation,77,0,59,0,12,0,48,0,1,2,2,2,4,1,0,1,0,0,1
80427.0,1835,45,PhD,56,0,1149,71,449,71,26,69,1,11,8,8,5,0,0,0,0,1,1
83837.0,1318,72,PhD,79,0,847,66,119,89,111,86,1,9,10,5,4,0,0,0,0,1,0
38853.0,45,50,PhD,90,0,29,0,14,0,2,0,2,2,0,3,7,0,0,0,0,1,1
38285.0,10,61,Graduation,96,0,2,0,5,0,1,2,1,0,0,3,2,0,0,1,0,0,1
78497.0,978,69,2n Cycle,44,0,207,26,447,0,223,75,1,5,7,12,2,0,1,0,0,0,0
51650.0,191,44,PhD,81,0,152,3,22,5,7,2,1,4,1,4,5,0,0,0,0,1,1
66835.0,1033,74,Master,21,0,620,26,195,17,141,34,1,6,4,13,2,0,0,0,1,0,0
30477.0,66,36,Master,16,0,47,1,6,0,12,0,1,1,1,3,6,0,0,0,1,0,1
28249.0,43,59,Basic,80,0,1,9,7,14,10,2,1,2,0,3,6,0,0,0,0,0,0
25271.0,50,37,Graduation,45,0,10,1,18,4,7,10,1,1,1,2,9,0,0,1,0,0,1
32303.0,39,50,PhD,63,0,35,0,2,0,2,0,2,1,0,4,5,1,0,0,0,1,1
61286.0,608,54,Graduation,34,0,356,0,107,9,117,19,2,7,1,8,5,0,0,1,0,0,1
74068.0,1581,44,Graduation,14,0,783,30,537,76,15,140,1,4,10,9,2,0,0,1,0,0,0
45759.0,68,56,PhD,13,0,42,1,18,0,4,3,2,2,0,3,7,0,0,0,0,1,1
24882.0,80,42,Basic,52,0,1,4,10,0,36,29,1,1,1,2,6,0,0,0,0,0,1
66973.0,1282,31,PhD,98,0,466,22,432,113,102,147,1,8,7,12,3,0,0,0,0,1,0
36640.0,65,120,2n Cycle,99,1,15,6,8,4,25,7,1,2,1,2,5,1,1,0,0,0,1
38872.0,91,32,Graduation,93,0,23,3,21,19,22,3,2,3,0,3,8,0,0,1,0,0,1
51148.0,315,47,Graduation,38,0,235,6,45,9,12,8,4,5,1,6,6,0,0,1,0,0,1
31353.0,31,43,Graduation,24,0,10,0,10,1,7,3,2,1,1,2,8,0,0,1,0,0,1
69661.0,834,40,Master,80,0,656,16,106,16,8,32,1,7,3,12,3,0,0,0,1,0,0
80067.0,1600,66,Graduation,82,0,519,17,813,173,51,27,1,4,6,6,2,0,0,1,0,0,0
46854.0,263,47,PhD,81,0,96,1,79,1,79,7,6,5,1,3,8,1,0,0,0,1,1
69142.0,535,68,Graduation,50,0,448,4,34,4,39,6,3,8,1,7,5,1,0,1,0,0,1
75922.0,1295,52,Graduation,60,0,265,138,553,23,92,224,1,4,4,9,1,1,0,1,0,0,0
63693.0,1150,42,Graduation,63,0,587,43,337,87,54,42,3,11,6,9,6,1,0,1,0,0,1
40637.0,38,55,PhD,72,0,22,0,13,0,3,0,2,1,0,3,7,1,0,0,0,1,1
29604.0,53,32,Graduation,88,0,7,6,13,6,14,7,1,1,0,3,9,0,0,1,0,0,1
48721.0,293,57,Master,50,0,81,18,113,13,21,47,6,4,2,5,6,1,0,0,1,0,1
44794.0,65,54,Graduation,99,0,54,0,7,0,4,0,1,2,0,3,6,0,0,1,0,0,1
64497.0,1804,66,Graduation,17,0,1170,48,320,32,192,42,5,11,4,9,8,1,0,1,0,0,1
46097.0,241,64,Graduation,11,0,72,24,68,4,8,65,5,3,1,6,4,0,0,1,0,0,1
77972.0,1101,66,Graduation,18,0,613,22,319,102,12,33,1,4,6,9,1,0,0,1,0,0,0
44377.0,264,52,PhD,70,0,224,0,30,0,10,0,8,5,1,5,8,0,0,0,0,1,1
46014.0,541,46,Master,21,0,410,0,59,9,44,19,10,7,1,8,7,0,0,0,1,0,1
70951.0,1198,35,Graduation,66,0,239,10,554,87,54,254,1,3,4,9,1,0,0,1,0,0,0
41443.0,482,43,Graduation,79,0,171,7,171,19,89,25,6,8,1,5,8,0,0,1,0,0,1
52195.0,17,42,2n Cycle,2,0,12,0,4,0,1,0,1,1,0,2,8,1,1,0,0,0,1
83790.0,1615,72,Master,81,0,1076,16,417,48,16,42,1,8,10,6,3,0,0,0,1,0,0
44551.0,285,66,Master,24,0,182,4,33,0,66,0,2,4,1,5,7,1,0,0,1,0,1
69508.0,1135,40,Graduation,48,0,824,32,162,32,43,42,2,11,4,11,6,0,0,1,0,0,1
45204.0,114,32,2n Cycle,93,0,30,11,25,1,18,29,1,1,1,4,3,0,1,0,0,0,1
72460.0,1047,51,Graduation,56,0,377,10,540,30,10,80,1,3,5,7,1,0,0,1,0,0,0
77622.0,714,50,PhD,3,0,520,7,154,0,14,19,2,6,3,11,3,0,0,0,0,1,1
30732.0,185,40,PhD,44,0,155,1,25,1,3,0,4,4,1,4,8,0,0,0,0,1,1
63887.0,1245,58,Graduation,38,0,897,23,207,11,92,15,5,9,6,12,6,1,0,1,0,0,1
42011.0,189,42,Graduation,46,0,131,0,16,1,39,2,4,3,1,4,8,0,0,1,0,0,1
51369.0,576,44,Graduation,84,0,297,7,79,11,182,0,2,8,2,4,8,0,0,1,0,0,1
51537.0,1103,68,Graduation,27,0,787,20,204,0,92,0,3,2,2,11,8,1,0,1,0,0,1
79930.0,1753,48,PhD,72,0,792,86,740,51,17,67,1,3,5,8,2,0,0,0,0,1,0
34320.0,17,34,PhD,66,0,4,1,9,0,0,3,1,1,0,2,8,0,0,0,0,1,1
37070.0,433,54,Graduation,30,0,231,7,137,15,39,4,9,5,1,8,7,1,0,1,0,0,1
81975.0,1588,58,2n Cycle,2,0,983,76,184,138,27,180,1,6,3,4,7,1,1,0,0,0,1
38590.0,22,49,Graduation,65,0,3,1,8,3,3,4,1,1,0,2,8,0,0,1,0,0,1
62745.0,1117,55,PhD,89,0,562,21,464,10,32,28,3,7,8,11,5,0,0,0,0,1,1
22212.0,69,45,2n Cycle,49,0,5,9,20,8,21,6,2,2,0,4,6,0,1,0,0,0,1
23661.0,23,38,Master,46,0,18,0,4,0,1,0,1,1,0,3,7,0,0,0,1,0,1
79761.0,605,62,PhD,32,0,415,5,124,35,11,15,1,5,2,11,3,1,0,0,0,1,1
60182.0,22,127,2n Cycle,23,0,8,0,5,0,2,7,1,1,0,2,4,1,1,0,0,0,1
73455.0,2088,52,Graduation,98,0,901,61,757,163,20,186,1,6,5,10,3,1,0,1,0,0,0
64961.0,1009,62,Graduation,97,0,382,114,276,124,38,75,2,6,4,4,3,0,0,1,0,0,1
22804.0,26,49,Graduation,75,0,14,1,7,1,1,2,1,2,0,2,9,1,0,1,0,0,1
73687.0,1627,30,Graduation,8,0,559,153,503,13,181,218,1,3,9,9,2,0,0,1,0,0,0
61074.0,1102,62,Graduation,37,0,789,0,133,28,152,0,7,11,5,8,7,0,0,1,0,0,1
31686.0,17,56,PhD,31,0,11,0,5,0,1,0,2,1,0,3,6,0,0,0,0,1,1
80134.0,1690,48,Graduation,40,0,1218,16,272,0,80,104,2,5,3,6,6,0,0,1,0,0,1
75027.0,1390,67,Graduation,74,0,925,64,179,12,77,133,2,9,4,6,5,0,0,1,0,0,1
67546.0,2126,32,PhD,90,0,864,134,768,38,172,150,1,4,10,5,3,0,0,0,0,1,0
65176.0,1531,51,Master,57,0,960,28,183,70,70,220,4,9,6,6,6,0,0,0,1,0,1
31160.0,64,45,Master,59,0,16,3,25,1,13,6,2,2,0,3,8,1,0,0,1,0,1
29938.0,26,35,Graduation,52,0,3,3,7,2,11,0,2,1,0,3,6,1,0,1,0,0,1
26490.0,210,62,2n Cycle,92,0,45,47,52,20,25,21,2,3,1,5,6,0,1,0,0,0,0
75702.0,1148,53,Graduation,77,0,650,28,353,42,30,45,5,4,6,11,8,0,0,1,0,0,1
30899.0,33,46,PhD,35,0,24,0,8,0,1,0,2,1,0,3,6,1,0,0,0,1,1
63342.0,1101,59,PhD,48,0,918,21,118,10,21,13,3,8,3,5,6,0,0,0,0,1,1
45989.0,322,56,Graduation,97,0,138,33,87,24,12,28,4,3,2,7,3,1,0,1,0,0,1
40737.0,17,63,PhD,24,0,11,0,4,0,2,0,1,1,0,2,8,1,0,0,0,1,1
69674.0,845,52,PhD,46,0,554,41,215,0,24,11,3,10,2,10,5,1,0,0,0,1,1
44159.0,275,50,Master,85,0,167,2,62,13,7,24,4,4,1,6,5,0,0,0,1,0,1
37717.0,25,42,PhD,31,0,9,0,6,1,5,4,1,1,0,2,9,0,0,0,0,1,1
43776.0,275,68,Master,9,0,177,2,71,2,20,3,6,5,2,4,8,0,0,0,1,0,1
38179.0,90,54,Master,30,0,38,4,22,2,20,4,4,3,1,3,7,0,0,0,1,0,1
80124.0,1495,57,Graduation,47,0,483,84,398,84,241,205,1,3,7,8,1,0,0,1,0,0,0
38097.0,184,50,PhD,70,0,77,2,35,1,69,0,4,3,2,2,7,0,0,0,0,1,1
72940.0,981,50,Graduation,13,0,182,74,298,149,116,162,1,3,3,6,1,0,0,1,0,0,0
22070.0,67,50,Graduation,11,0,10,7,19,2,21,8,2,2,2,2,6,0,0,1,0,0,1
69267.0,1635,67,Graduation,31,0,778,44,499,73,146,95,2,3,4,5,7,1,0,1,0,0,0
31788.0,60,37,Master,15,1,16,7,23,8,6,0,3,3,0,4,5,1,0,0,1,0,1
61905.0,231,45,PhD,2,0,167,0,43,2,13,6,2,4,2,4,5,0,0,0,0,1,1
29315.0,48,60,Graduation,55,0,13,2,14,7,4,8,4,2,0,4,6,0,0,1,0,0,1
33378.0,99,57,Graduation,38,0,33,6,40,7,10,3,3,2,0,4,7,1,0,1,0,0,1
66313.0,770,57,PhD,86,0,625,7,99,22,7,10,2,6,3,12,4,0,0,0,0,1,1
60714.0,957,64,Graduation,56,0,216,162,224,92,162,101,2,7,4,10,5,1,0,1,0,0,0
77882.0,818,39,Master,29,0,68,129,396,22,15,188,1,3,3,5,1,0,0,0,1,0,0
69867.0,925,34,PhD,30,0,196,0,512,130,54,33,1,3,5,8,1,1,0,0,0,1,0
63841.0,908,52,Master,64,0,635,15,100,7,131,20,1,9,3,9,6,1,0,0,1,0,1
24480.0,102,39,Basic,46,0,4,19,9,25,17,28,3,3,0,4,7,0,0,0,0,0,1
51369.0,576,44,Graduation,84,0,297,7,79,11,182,0,2,8,2,4,8,0,0,1,0,0,1
37760.0,317,74,Graduation,20,0,84,5,38,12,28,150,2,4,1,6,7,0,0,1,0,0,0
65640.0,461,46,PhD,74,0,204,7,149,15,66,20,1,5,1,8,2,0,0,0,0,1,1
44319.0,37,45,Master,18,0,26,0,8,0,3,0,2,2,0,3,5,0,0,0,1,0,1
30631.0,70,46,Graduation,75,0,15,6,20,5,20,4,1,3,1,2,7,0,0,1,0,0,1
75278.0,930,68,Graduation,17,0,304,98,230,74,74,150,1,6,3,13,3,0,0,1,0,0,0
50898.0,859,64,Master,88,0,285,28,242,114,135,55,13,6,2,12,5,0,0,0,1,0,1
79946.0,1478,54,Graduation,19,0,395,183,565,141,28,166,1,5,11,5,3,1,0,1,0,0,0
35416.0,390,71,Master,62,0,248,3,81,3,51,4,3,7,1,5,8,1,0,0,1,0,0
32414.0,52,36,2n Cycle,11,0,20,6,5,9,12,0,1,1,0,3,7,0,1,0,0,0,0
38361.0,137,51,Graduation,74,0,39,0,56,8,14,20,3,3,1,3,7,0,0,1,0,0,1
82497.0,1919,40,Graduation,32,0,777,129,573,21,203,216,1,2,7,9,4,0,0,1,0,0,0
29672.0,25,55,Graduation,6,0,9,1,3,4,8,0,1,0,0,3,6,0,0,1,0,0,1
55951.0,1374,68,Master,62,0,1241,0,80,13,40,0,3,3,6,11,8,0,0,0,1,0,1
